15,183157.30,-2098.6358,3491.2037,84.748,304.35,27.60,-0.4010,-0.0901,0.0395,-2.2541,4.0064,-11.2310
15,183157.40,-2098.6351,3491.2049,84.729,304.64,27.60,-0.3300,-0.2069,-0.0838,-1.2286,2.5715,-8.7712
15,183157.50,-2098.6343,3491.2062,84.618,304.58,27.70,-0.1385,-0.2343,0.0218,-2.1671,1.2625,-4.6823
15,183157.60,-2098.6336,3491.2075,84.210,304.05,27.70,0.0943,-0.1618,0.0584,-2.3227,2.0828,0.0694
15,183157.70,-2098.6329,3491.2088,84.155,303.14,27.70,0.2617,-0.1992,0.0401,-4.1110,2.4832,3.7572
15,183157.80,-2098.6323,3491.2100,83.710,301.98,27.70,0.3955,-0.2367,-0.0013,-4.4511,0.7234,7.6025
15,183157.90,-2098.6316,3491.2113,83.414,300.52,27.70,0.4787,-0.1943,0.0566,-3.8077,1.2402,10.4135
15,183158.00,-2098.6310,3491.2127,83.359,298.90,27.70,0.5269,-0.1885,0.0858,-5.5826,1.2243,11.4490
15,183158.10,-2098.6304,3491.2140,83.321,298.64,27.70,0.5798,-0.1727,-0.0195,-4.0929,2.0327,12.9628
15,183158.20,-2098.6299,3491.2154,83.710,296.83,27.70,0.6086,-0.1705,-0.0904,-1.0406,0.2562,13.2471
15,183158.30,-2098.6294,3491.2167,83.636,294.91,27.70,0.6030,-0.1880,-0.0817,-2.3786,-2.3779,12.7747
15,183158.40,-2098.6289,3491.2181,83.544,293.69,27.70,0.5771,-0.1629,0.0137,-2.7147,-2.1999,12.8940
15,183158.50,-2098.6284,3491.2195,83.470,292.93,27.70,0.5082,-0.1153,0.0077,-2.9631,-0.3759,12.0675
15,183158.60,-2098.6279,3491.2209,83.507,292.71,27.70,0.4098,-0.1308,0.0730,-5.4445,0.9617,9.3230
15,183158.70,-2098.6274,3491.2223,83.099,292.78,27.70,0.2904,-0.1659,0.0048,-4.3817,0.8730,7.4799
15,183158.80,-2098.6269,3491.2237,83.062,293.17,27.70,0.1709,-0.2085,-0.0469,-4.7167,-0.8217,4.1730
15,183158.90,-2098.6264,3491.2251,83.081,294.00,27.70,0.0617,-0.1609,0.0686,-5.1085,-1.8272,1.6052
15,183159.00,-2098.6259,3491.2265,83.062,294.92,27.70,-0.0617,-0.2153,-0.0131,-4.1495,-0.6976,-1.1054
15,183159.10,-2098.6254,3491.2279,83.044,295.16,27.70,-0.2316,-0.2514,-0.1637,-1.2326,-1.6921,-5.0835
15,183159.20,-2098.6248,3491.2292,82.896,296.57,27.70,-0.3514,-0.2130,-0.1106,-1.7234,-2.3342,-8.5657
15,183159.30,-2098.6242,3491.2305,82.840,298.32,27.70,-0.4492,-0.2198,-0.0078,-3.1179,-1.2151,-11.2151
15,183159.40,-2098.6236,3491.2319,82.821,299.92,27.70,-0.5051,-0.1965,0.0135,-4.8381,-2.1280,-12.9451
15,183159.50,-2098.6230,3491.2332,83.266,301.42,27.70,-0.5542,-0.1698,0.0065,-3.1854,0.2148,-14.0709
15,183159.60,-2098.6223,3491.2344,83.618,302.81,27.70,-0.5731,-0.1747,-0.0302,-2.7234,-0.4421,-14.5890
15,183159.70,-2098.6216,3491.2357,84.081,304.06,27.70,-0.5453,-0.1252,0.0472,-3.1830,-1.7241,-14.5794
15,183159.80,-2098.6209,3491.2370,84.488,305.02,27.70,-0.5393,-0.0469,-0.0076,-3.8609,1.5409,-13.7060
15,183159.90,-2098.6201,3491.2383,84.507,305.23,27.70,-0.4758,-0.0962,-0.0164,-4.1022,-1.0422,-12.9028
